Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Phaseolus	vulgaris	French bean	3885	GCA_000499845.1	PRJNA41439		29/11/13	6	521076696	39053	368889767	21,02	ARACHNE v. 20071016_modfied	"ABI 3730; Roche 454 FLX; Illumina GAII"	short	96,3	93,8	2,5	1,2	2,5	22	2	JGI	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Pisum	sativum	pea	3888	GCA_014905515.1	PRJDB10540		28/09/20	2	3297037789	51222	1055914161	44	wtdbg2 v. 2.4	MinION	long	90,9	88,9	2	2,2	6,9	14	2	Kazusa DNA Research Institute	Japan	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	alba	algarrobo blanco	207710	GCA_004799145.1	PRJNA514254		17/04/19	2	707161903	248703	217323914	30	Celera Assembler Canu v. 1.7	PacBio	long	95,7	54,5	41,2	9,00E-01	3,4	28	2	University of Georgia	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Senna	tora		362788	GCA_014851425.1	PRJNA605066		05/10/20	1	526356977	3966958	397358247	146	FALCON-Unzip v. June-2018	"PacBio RSII; PacBio Sequel"	long	96,3	91,3	5	1,4	2,3			National Institute of Agricultural Sciences			Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Spatholobus	suberectus		455371	GCA_004329165.1	PRJNA482912		07/03/19	1	798470440	2052247	584359509		FALCON v. 3.1	PacBio Sequel	long	95,6	91,8	3,8	1,4	3			Guangxi Botanical Garden of Medicinal Plants	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	medium		97028	GCA_003490085.1	PRJNA315359		06/09/18	1	492653238	292	769017987	23	ABySS v. 1.3.3	Illumina HiSeq	short	3,2	3,1	0,1	13,4	83,4	80	8	Masaryk University	Czech Republic	Europe	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	occidentale		74524	GCA_012979555.1	PRJNA521254		07/05/20	1	500542700	16679	113557011	317	AllPaths v. DEC-2013	Illumina HiSeq	short	93,7	90,5	3,2	2,1	4,2			AgResearch Ltd	New Zealand	Oceania	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	pratense	peavine clover	57577	GCA_900292005.1	PRJEB9186		23/05/18	3	351621712	4846	90906945	100			short	87,9	85,7	2,2	6,3	5,8	14	2	TGAC	United Kingdom	Europe	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	repens	white clover	3899	GCA_005869975.1	PRJNA523044		22/11/19	1	919695753	12081	220895750	100	AllPaths v. DEC-2013	Illumina HiSeq	short	94,1	39,3	54,8	2	3,9	32	4	AgResearch Ltd	New Zealand	Oceania	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium	subterraneum		3900	GCA_001742945.1	PRJDB2012		20/07/16	2	471834188	21214	338612043	552,8	"SOAPdenovo v. 2; Newbler v. 2.7; GAM-NGS; SSPACE"	"HiSeq1000; Hiseq2000; Miseq; Roche454"	short	95,6	91,8	3,8	1,7	2,7	16	2	Lab. of Plant Genome Informatics, Department of Plant Genome Research, Kazusa DNA Research Institute	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	collinsii		284492	GCA_006871305.1	PRJNA470667		10/07/19	1	461064704	8086	142840199	50	MaSuRCA v. 3.2.2	Illumina HiSeq	short	84,1	79,3	4,8	10,3	5,6			University of Pennsylvania	USA	North America	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	faba	fava bean	3906	GCA_001375635.1	PRJEB8906	https://doi.org/10.1186/s12870-015-0486-5	20/04/15	1	80362707	1723	18026833	8			short	89,8	64	25,8	4,1	6,1	12	2	IPK GATERSLEBEN	Germany	Europe	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	angularis		157739	GCA_004320505.1	PRJDB3778	doi: 10.1038/srep16780	17/12/15	3	522761097	1575115	381290283	51	"sprai-0.9.5.1.3; Celera Assembler v. 8.2beta"	"PacBio RSII; Illumina HiSeq2500"	long	96	92,9	3,1	1,9	2,1	22	2	National Institute of Agrobiological Sciences, Japan	Japan	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	marina					https://doi.org/10.1016/j.cj.2019.05.007	05/10/19	1	365686126				Velvet (v.1.2.10)	Illumina	short								ICAR - Indian Institute of Pulses Research	India	Asia	Wild
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	mungo	black gram	3915	GCA_013427195.1	PRJNA623719	DOI: 10.1111/1755-0998.13243	21/07/20	1	498803560	41708	133327368	267	supernova v. 2.1.1	10x genomics sequencing technology	long	95,1	92,3	2,8	2,2	2,7	22	2	National Center for Genetic Engineering and Biotechnology (BIOTEC)	Thailand	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	radiata	mung bean	3916	GCA_000741045.2	PRJNA243847	DOI: 10.1038/ncomms6443	28/10/15	3	463085359	48831	124500299	300	Allpath-LG v. 42179	Illumina HiSeq	short	96	93,2	2,8	1,7	2,3			Seoul National University	South Korea	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	subterranea	bambara groundnut 				 doi:10.1093/gigascience/giy152	16/10/18	1	512516846	19154				Illumina	short								 BGI-Shenzhen	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vigna	unguiculata	cowpea	3917	GCA_004118075.1	PRJNA381312	 DOI: 10.1111/tpj.14349	30/01/19	3	518914349	10911736	142294398	91	CANU-Abruijn-FALCON v. 2017-2-1	"PacBio; Bionano"	long	96,8	93,9	2,9	1,1	2,1	22	2	University of California, Riverside	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Fabales	Quillajaceae	Quillaja	saponaria		32244	GCA_003338715.1	PRJNA415043		24/07/18	1	248318095	6074	160654206	93	"SOAPdenovo v. 2; Velvet v. 1.2.10; CLCGenomics workbench v. 10"	Illumina	short	56,6	53,5	3,1	26,2	17,2			Universidad Mayor	Chile	South America	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Alnus	glutinosa		3517	GCA_003254965.1	PRJNA374770		19/06/18	1	611874127	9564	182360989	326	Platanus v. 1	Illumina HiSeq	short	79,4	73,9	5,5	11,6	9	28	2	BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Betula	nana	alpine birch	216990	GCA_000327005.1	PRJEB576		03/12/12	1	564011153	4884	174098777				short	75,7	73,2	2,5	11,2	13,1	28	2	QMUL	United Kingdom	Europe	Wild
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Betula	pendula	European white birch	3505	GCA_900184695.1	PRJEB14544		26/05/17	1	435172141	49342	404885181	9			long	95,3	92,4	2,9	2	2,7	28	2	DNA SEQUENCING AND GENOMICS LABORATORY, INSTITUTE OF BIOTECHNOLOGY, UNIVERSITY OF HELSINKI	Finland	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Carpinus	fangiana		176857	GCA_006937295.1	PRJNA548027		29/07/19	1	381948906	127053	279982444	200	"Platanus v. 1.2.1; HaploMerger2 v. 20151124"	Illumina HiSeq	short	93,8	91,8	2	2	4,2			Lanzhou University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Corylus	heterophylla		80754	GCA_016403345.1	PRJNA655406		26/12/20	1	370750808	2068510	104260924	101	wtdbg2 v. 2.2	Oxford Nanopore MinION	long	91	88,8	2,2	2,6	6,4			Chinese Academy of Forestry	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Ostrya	chinensis					https://doi.org/10.1038/s41467-018-07913-4	21/12/18	1	371600000	13650	386000000		Platanus v1.2.4	Illumina HiSeq	short								Sichuan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Betulaceae	Ostrya	rehderiana					https://doi.org/10.1038/s41467-018-07913-5	22/12/18		366200000	21960	386000000		Platanus v1.2.4	Illumina HiSeq	short								Sichuan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Casuarinaceae	Casuarina	equisetifolia		228173	GCA_003795335.1	PRJNA450482		19/11/18	1	301458157	466697	91862217	546,93	"SOAP-denovo v. 2.04.4; FALCON v. 1.8.2; DISCOVAR v. 52488"	"Illumina HiSeq; PacBio"	long	95,6	92,9	2,7	0,7	3,7	18	2	Fujian Academy of Forestry Sciences	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Casuarinaceae	Casuarina	glauca	swamp oak	3522	GCA_003255045.1	PRJNA374770		19/06/18	1	282810774	101670	86672918	890	SOAPdenovo v. 1	Illumina HiSeq	short	96,4	93,7	2,7	1,3	2,3	18	2	BGI	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanea	mollissima	Chinese chestnut	60419	GCA_014183005.1	PRJNA559042		13/08/20	2	688985466	2828629	216238227	97	WTDBG v. 1.2.8	PacBio Sequel	long	89	85,3	3,7	3,1	7,9			Shandong Academy of Agricultural Science	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	crenata	Japanese beech	28929	GCA_014362285.1	PRJDB8757		19/08/20	1	799350261	27225	236869493	45	Supernova v. 2.0.0	illumina Novaseq6000	short	89,5	10,8	78,7	4,6	5,9			Graduate School and Faculty of Bioresources, Mie University: Graduate School of Bioagricultural Sciences, Nagoya University	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	sylvatica	European beech	28930	GCA_003347535.1	PRJNA450822		31/07/18	1	428199988	82946	135376027	50	Platanus AND DBG2OLC v. Novermber-2017	"Illumina HiSeq; PacBio"	long	85,9	81	4,9	5,8	8,3	24	2	Kazimierz Wielki University	Poland	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	lobata					doi: 10.1534/g3.116.030411	21/08/16		1170000000	95000	720000000		MaSuRCA	Illumina HiSeq	short								University of California, Los Angeles	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	mongolica	Mongolian oak	103485	GCA_011696235.1	PRJNA609556		25/03/20	1	809993317	2446788	226218024	103,1	FALCON v. 2.0	PacBio Sequel	long	92,4	87,1	5,3	1,7	5,9			Shenyang Agricultural University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	robur	English oak	38942	GCA_900291515.1	PRJEB19898		20/03/18	2	814336181	69349	224639726	50			long	89,4	85,2	4,2	3,7	6,9	24	2	Genoscope CEA	France	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	suber	cork oak	58331	GCA_002906115.1	PRJNA392919		29/01/18	2	953298670	80917	290450212	737,72	"Ray v. 2.3.1; BESST v. 2.2.5"	Illumina	short	89,3	80,1	9,2	2	8,7	24	2	Genosuber	Portugal	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Carya	cathayensis		139927	GCA_011037825.1	PRJNA435846		27/02/20	1	706397096	311384	218667917	248	Platanus v. 1.2.4	Illumina HiSeq PacBio	long	95,6	88,2	7,4	1,6	2,8			"Zhejiang A&amp;F University"	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Carya	illinoinensis	pecan	32201	GCA_011037805.1	PRJNA435846	https://doi.org/10.1093/gigascience/giz036	27/02/20	1	651237563	80695	202820930	288	Platanus v. 1.2.4	Illumina HiSeq PacBio	long	95,2	89	6,2	1,5	3,3			"Zhejiang A&amp;F University"	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	cathayensis		91213	GCA_003122765.1	PRJNA445704		14/05/18	1	600151230	34601	178980039	160	"MaSuRCA v. 2.3.3; SOAPdenovo2 v. 2.04"	Illumina	short	82,9	70,1	12,8	4,70E+00	12,4			University of California Davis	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	hindsii		91216	GCA_003123825.1	PRJNA445704		14/05/18	1	611108796	35397	183489965	170	"MaSuRCA v. 2.3.3; SOAPdenovo2 v. 2.04"	Illumina	short	92,7	85,6	7,1	3,3	4			University of California Davis	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	mandshurica		91218	GCA_002916435.1	PRJNA356989		05/02/18	1	558070702	114334	171755985	90	AllPaths v. 47417	Illumina HiSeq	short	96	87,1	8,9	1,4	2,6			Beijing Normal University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	microcarpa		2249226	GCA_004785585.1	PRJNA413991		16/04/19	2	534671929	15066219	152952665	47	FALCON v. 0.4.2	PacBio	long	95	88,9	6,1	1,6	3,4			University of California	USA	North America	Wild
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	nigra	black walnut	16719	GCA_002916485.1	PRJNA356989		05/02/18	2	682556897	50281	196172590	57	AllPaths v. 47417	Illumina HiSeq	short	93,9	85	8,9	2,4	3,7			Beijing Normal University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	regia		51240	GCA_001411555.2	PRJNA291087		06/07/20	4	572786133	1072962	444190089	155	"MaSuRCA v. 3.2.1; HiRise v. 2018-04"	"Illumina HiSeq; Oxford Nanopore MinION; Illumina NovaSeq"	long	95,1	87,5	7,6	1,7	3,2	32		Johns Hopkins University	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans	sigillata		224355	GCA_003123805.1	PRJNA445704		14/05/18	1	648117419	39492	194692147	300	"MaSuRCA v. 2.3.3; SOAPdenovo2 v. 2.04"	Illumina	short	91,6	85,2	6,4	4,2	4,2			University of California Davis	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Fagales	Juglandaceae	Pterocarya	stenoptera		91225	GCA_003123785.1	PRJNA445704		14/05/18	1	955600900	37442	289738255	300	"MaSuRCA v. 2.3.3; SOAPdenovo2 v. 2.04"	Illumina	short	90,2	52,7	37,5	4,10E+00	5,7			University of California Davis	USA	North America	Wild
Tracheophyta	Magnoliopsida	Fagales	Myricaceae	Morella	rubra	Chinese arbutus	262757	GCA_003952965.2	PRJNA398601		03/10/19	1	313008583	192611	243297333	293	"SOAPdenovo v. 2.04.4; FALCON v. 1.7.4; HABOT v. 1.2"	"Illumina; PacBio"	long	89,3	79,2	10,1	2,4	8,3			Zhejiang University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Garryales	Eucommiaceae	Eucommia	ulmoides					https://doi.org/10.1038/s41438-020-00406-w	01/11/20		947840000	13160000	1020000000	95	FALCON and Quiver	PacBio	long								Beijing Forestry University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Asclepias	syriaca		48545	GCA_002018285.1	PRJNA210776		03/03/17	1	236770010	1505	76380740	80,4	"Platanus v. 1.2.1; SCUBAT v. 2015-12-17"		short	76,9	76,1	0,8	13,9	9,2		2	Oregon State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Calotropis	procera		141467	GCA_004801955.1	PRJNA292713		22/04/19	1	209214572	2149	42875269	10	Velvet v. 1.2.08	Illumina	short	82,5	81,9	0,6	9,3	8,2			Michigan State University	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	roseus	Madagascar periwinkle	4058	GCA_000949345.1	PRJNA252611		06/03/15	1	522653749	14288	168408857	50	ABySS v. 1.3.4	Illumina HiSeq	short	80,8	79,7	1,1	11,4	7,8			Michigan State University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Rhazya	stricta		396313	GCA_001752375.1	PRJNA291945		04/10/16	1	274354041	86911	82753160	112	Allpaths-LG v. 44837	PacBio RS	long	95,3	94,4	0,9	1,5	3,2			King Abdulaziz University	Saudi Arabia	Asia	Wild
Tracheophyta	Magnoliopsida	Gentianales	Gelsemiaceae	Gelsemium	elegans					https://doi.org/10.1016/j.apsb.2019.08.004	01/02/20		331800000	10140000	338031359		Canu v1.7.121 and WTDBG v1.2.8	Oxfrod nanopore and illumina	long								Hunan Agricultural University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Gentianales	Gelsemiaceae	Gelsemium	sempervirens					 https://doi.org/10.1002/cbic.201800592	09/10/18	1															Michigan State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Chiococca	alba					https://doi.org/10.1093/dnares/dsaa013	08/07/20		557689917		567000000		ALLPATHS-LG (v52488) and Supernova (v2.0.0)	Illumina HiSeq	short								Michigan State University	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea	arabica	coffee	13443	GCA_003713225.1	PRJNA497895		08/11/18	2	1094291418	3917557	294673642	160	"MaSuRCA v. 3.2.4; FALCON-Unzip v. 0.9"	"Illumina HiSeq; PacBio RSII; 10x GemCode"	long	93,2	36,4	56,8	1,5	5,3	44	4	Johns Hopkins University	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea	canephora	robusta coffee	49390	GCA_900059795.1	PRJEB4211	DOI: 10.1126/science.1255274	21/08/14	1	568611505	49589	365569895	24			short	95,3	93,7	1,6	1,5	3,2	22	2	Genoscope CEA	France	Europe	Domesticated
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Coffea	eugenioides		49369	GCA_003713205.1	PRJNA497891		08/11/18	2	699903961	204058	187012916	160	"MaSuRCA v. 3.2.4; FALCON-Unzip v. 0.9"	"Illumina HiSeq; PacBio RS; 10x Chromium"	long	95,8	89,4	6,4	1,6	2,6	22	2	Johns Hopkins University	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	porrigens		2292676	GCA_012274505.1	PRJNA484218		13/04/20	1	434509153	1700	140337714	6	CLC NGS Cell v. 8.0	Illumina NextSeq	short	72,7	69,9	2,8	15,6	11,7			Dylan Burge Biodiversity Consulting	USA	North America	Wild
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Gardenia	jasminoides		114476	GCA_013103745.1	PRJNA477438		15/05/20	1	534884156	1028321	151685277	60	Canu v. 1.8	Oxford Nanopore, Hi-C	long	94,7	93,5	1,2	1,6	3,7			Chinese Academy of Medical Sciences, Peking Union Medical College	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Ophiorrhiza	pumila					https://doi.org/10.1038/s41467-020-20508-2	11/01/21		439900000	18490000			Canu  	PacBio	long 								Chiba University	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Huerteales	Tapisciaceae	Tapiscia	sinensis					https://doi.org/10.1038/s41438-020-00414-w	01/12/20		410000000	1757	427770000		FALCON	PacBio and Illumina	long								Northwest University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Icacinales	Icacinaceae	Nothapodytes	nimmoniana		159386	GCA_002091855.1	PRJDB4994		03/04/17	1	1365272	785	450511		Newbler v. 2.6	454 GS junior+ system	short	0	0	0	0	100			Hokkaido Regional Breeding Center, Forest Tree Breeding Center	Japan	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Andrographis	paniculata		175694	GCA_009805555.1	PRJNA549104		27/12/19	2	284308021	5149272	86899284	10	Hera v. January-2019	PacBio Sequel	long	96,3	93,7	2,6	1,1	2,6			Guangxi Botanical Garden of Medicinal Plants	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Avicennia	marina		1381980	GCA_900174615.1	PRJEB8422		09/03/20	3	458310972	2226468	145626340	174			long	94,9	90,5	4,4	1,7	3,4			Zhang Zhang	China	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia	speciosa		441023	GCA_001909325.1	PRJNA326965		20/12/16	1	740035655	1201	252161976	108	MaSuRCA v. 3.1.0	Illumina HiSeq	short	45,6	43,1	2,5	25,9	28,5			University of Colorado-Boulder	USA	North America	Wild
Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Strobilanthes	cusia					https://doi.org/10.1111/tpj.14992	27/09/20		865000000														Chinese Academy of Sciences	China	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	Handroanthus	guayacan		429699	GCA_014898755.1	PRJNA614908		20/10/20	1	339723547	12476	212639256	129	"Meraculous v. 2.2; HiRise Chicago v. June-2019"	Illumina HiSeq	short	86,7	84,7	2	4,9	8,4			Louisiana State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	Handroanthus	impetiginosus		429701	GCA_002762385.1	PRJNA324125		09/11/17	1	503289430	39622	392450102	91	"AllPaths v. 44837; SSPACE v. 3.0; GapCloser v. 1.12-r6"	Illumina HiSeq	short	85,4	73,6	11,8	5,8	8,8	40	2	"Laboratorio de Genetica &amp; Biodiversidade, Instituto de Ciencias Biologicas,Universidade Federal de Goias"	Brazil	South America	Natural commodity
Tracheophyta	Magnoliopsida	Lamiales	Bignoniaceae	Jacaranda	copaia		228396	GCA_014898725.1	PRJNA614908		20/10/20	1	616158746	36735	391168610	104	"Meraculous v. 2.2; HiRise Chicago v. August-2018"	Illumina HiSeq	short	95,4	91,9	3,5	1,4	3,2			Louisiana State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Lamiales	Gesneriaceae	Dorcoceras	hygrometricum		472368	GCA_001598015.1	PRJNA182117		28/04/16	1	1521360707	11632	1092482484	287	SOAPdenovo v. 2.04	"Illumina HiSeq; 454"	short	83,9	82,2	1,7	2,1	14			BGI-Shenzhen	China	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Gesneriaceae	Primulina	huaijiensis		1492673	GCA_012295235.1	PRJNA532462		15/04/20	1	469801272	92058	131897886	530	SOAPdenovo v. 2	Illumina HiSeq	short	94,2	76,8	17,4	1,5	4,3	36	2	scbg	China	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Callicarpa	americana 					doi: 10.1093/gigascience/giaa093		1	506100000	7500000	538000000	81	Canu and Pilon 	PacBio and Illumina	long 								Michigan State University	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	longifolia	horsemint	38859	GCA_001642375.1	PRJNA310613		11/05/16	1	353287234	2761	116096379	33	MaSuRCA v. 2.2.1	"Illumina GAIIx; Illumina HiSeq; PacBio"	long	51,8	46,9	4,9	25,2	23	24	2	Oregon State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ocimum	basilicum					https://doi.org/10.1093/dnares/dsaa016	31/07/20		2067620000	48300	2337420000		Supernova and HISTAT	Illumina and 10x	short								Michigan State University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ocimum	sanctum					 https://doi.org/10.1186/s12864-015-1640-z	28/05/15		401803260	12769			"Edena v3.1; SSPACE-2.03"	Roche 454 and Illumina									CSIR-Central Institute of Medicinal and Aromatic Plants	India	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ocimum	tenuiflorum	holy basil	204149	GCA_001278415.1	PRJNA223343		02/09/15	2	332616730	5674	109662014	13,94	SOAPdenovo v. 2	Illumina HiSeq	short	70	65,6	4,4	18,2	11,8	36		Centre for Cellular and Molecular Plateforms	India	Asia	Wild
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Origanum	majorana					https://doi.org/10.1093/dnares/dsaa016	31/07/20		760890000	35950	880200000		Supernova and HISTAT	Illumina and 10x	long 								Michigan State University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Origanum	vulgare					https://doi.org/10.1093/dnares/dsaa016	31/07/20		630040000	26280	694380000		Supernova and HISTAT	Illumina and 10x	long 								Michigan State University	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Perilla	citriodora		121094	GCA_004303085.1	PRJNA431006		26/02/19	1	618797171	80066	193305260	120	SOAPdenovo v. 1.0	Illumina HiSeq	short	96,1	91,5	4,6	1	2,9			Institute of Chinese Materia Medica	China	Asia	Wild
